EmployeeID,JoinDate,Department,Location,Age,Gender,Education,ExperienceYears,IsRemote,HasMentorAssigned,HasManagerMeetingScheduled,HRIntroCompleted,DeviceDeliveredOnTime,LoggedInFirstWeek,AttendedWelcomeSession,TotalDaysActive,Churned
EMP1054,22-02-2024,Finance,US,45,Male,Bachelors,12,0,1,1,1,0,1,1,553,0
EMP1055,05-12-2024,Engineering,US,43,Female,Bachelors,10,0,1,1,0,1,1,1,266,0
EMP1056,01-04-2024,Finance,India,48,Female,Masters,13,1,1,1,1,1,1,1,514,0
EMP1057,20-09-2024,Product,US,23,Female,Bachelors,0,0,0,1,0,1,1,1,342,0
EMP1058,04-02-2024,Finance,Canada,46,Female,Masters,4,1,0,1,1,0,0,0,571,1
EMP1059,24-07-2024,Product,Germany,35,Male,Masters,14,1,1,1,1,1,1,1,400,0
EMP1060,21-03-2024,Sales,Germany,23,Male,Masters,13,1,1,1,1,0,1,1,525,0
EMP1061,19-02-2024,Engineering,India,36,Female,Bachelors,9,0,1,1,1,1,1,0,556,0
EMP1062,25-12-2024,Sales,UK,33,Female,Bachelors,11,0,1,0,1,1,1,1,246,0
EMP1063,02-01-2024,HR,Singapore,26,Female,Bachelors,14,1,1,0,1,0,1,1,604,0
EMP1064,23-02-2024,Sales,India,49,Male,Masters,9,0,1,0,1,1,1,1,552,0
EMP1065,15-04-2024,Product,US,41,Female,Bachelors,14,0,0,0,1,1,1,1,500,0
EMP1066,16-09-2024,Sales,Singapore,28,Male,Bachelors,3,0,0,1,1,1,1,1,346,0
EMP1067,05-11-2024,Sales,UK,45,Male,Bachelors,10,0,1,1,1,1,1,1,296,0
EMP1068,09-07-2024,Engineering,US,42,Male,Bachelors,6,0,1,1,0,1,1,1,415,0
EMP1069,05-08-2024,Sales,Canada,31,Female,Masters,12,0,1,0,1,1,1,0,388,0
EMP1070,13-02-2024,Engineering,US,35,Female,Masters,8,0,0,1,1,1,0,1,562,0
EMP1071,10-06-2024,Marketing,Canada,35,Female,Bachelors,4,0,0,1,1,1,1,1,444,0
EMP1072,20-07-2024,HR,Singapore,26,Female,Bachelors,3,0,1,1,1,1,1,1,404,0
EMP1073,26-09-2024,Engineering,Canada,39,Female,Masters,14,0,1,1,1,1,1,0,336,0
EMP1074,16-12-2024,Product,Singapore,45,Female,Bachelors,8,0,1,1,1,1,0,1,255,0
EMP1075,30-10-2024,Marketing,Singapore,35,Male,Masters,4,0,1,1,1,1,1,1,302,0
EMP1076,27-09-2024,Engineering,Singapore,23,Female,Masters,8,0,1,1,1,1,1,1,335,0
EMP1077,02-08-2024,Engineering,Singapore,47,Female,Bachelors,7,0,0,0,1,1,0,0,391,1
EMP1078,08-09-2024,HR,Singapore,33,Male,Bachelors,3,0,0,1,1,1,0,0,354,1
EMP1079,08-07-2024,Product,US,43,Female,Masters,10,0,1,0,1,1,1,1,416,0
EMP1080,22-10-2024,Finance,Singapore,45,Female,Bachelors,10,0,1,1,1,1,1,1,310,0
EMP1081,31-07-2024,Finance,US,27,Male,Bachelors,6,0,0,1,0,1,0,1,393,1
EMP1082,26-07-2024,Engineering,Singapore,25,Male,Bachelors,4,1,1,1,1,1,0,1,398,0
EMP1083,24-08-2024,Sales,Canada,34,Male,Bachelors,9,0,0,0,1,1,1,1,369,0
EMP1084,03-12-2024,Product,Singapore,25,Female,Masters,3,1,1,1,0,1,1,1,268,0
EMP1085,22-02-2024,Marketing,UK,43,Female,Masters,4,0,0,1,1,1,1,1,553,0
EMP1086,06-10-2024,Sales,Singapore,35,Female,Masters,4,1,1,1,1,1,1,1,326,0
EMP1087,04-08-2024,Sales,Singapore,37,Male,Bachelors,10,0,0,1,1,1,0,0,389,1
EMP1088,08-09-2024,Product,Canada,25,Female,Bachelors,14,0,1,0,0,1,1,1,354,1
EMP1089,06-07-2024,Engineering,Germany,45,Male,Masters,8,0,0,1,1,1,1,0,418,0
EMP1090,10-02-2024,Engineering,Canada,46,Female,Bachelors,11,0,1,1,1,1,1,1,565,0
EMP1091,05-06-2024,Engineering,UK,22,Female,Masters,8,0,1,1,1,0,1,0,449,1
EMP1092,15-01-2024,Engineering,Germany,34,Male,Bachelors,5,0,0,1,1,0,1,1,591,0
EMP1093,27-10-2024,Finance,India,25,Male,Masters,13,0,0,1,1,0,0,1,305,1
EMP1094,05-03-2024,Engineering,India,41,Male,Bachelors,3,0,1,1,1,1,1,1,541,0
EMP1095,10-12-2024,Finance,UK,39,Male,Bachelors,14,1,1,1,1,1,1,1,261,0
EMP1096,22-11-2024,Finance,Canada,27,Female,Bachelors,1,0,0,1,1,1,1,1,279,0
EMP1097,09-01-2024,Engineering,US,24,Male,Bachelors,13,1,0,1,1,1,1,1,597,0
EMP1098,09-12-2024,HR,UK,44,Male,Bachelors,2,0,0,1,0,1,0,1,262,1
EMP1099,08-05-2024,Marketing,Germany,34,Male,Masters,1,0,0,1,1,1,1,1,477,0
EMP1100,15-05-2024,Sales,Germany,48,Female,Masters,4,0,1,1,0,1,1,0,470,1
EMP1101,03-03-2024,Finance,Singapore,37,Male,Masters,5,0,1,1,1,1,0,0,543,0
EMP1102,18-05-2024,Product,India,48,Female,PhD,10,0,1,0,1,1,1,1,467,0
EMP1103,21-03-2024,Product,Germany,26,Female,Bachelors,4,0,1,1,0,1,1,0,525,1
EMP1104,11-06-2024,Marketing,UK,25,Female,Bachelors,1,0,1,1,1,1,1,1,443,0
EMP1105,15-10-2024,Product,Germany,42,Male,Bachelors,11,1,1,1,1,1,1,0,317,0
EMP1106,17-09-2024,HR,UK,29,Male,Masters,4,0,1,1,1,1,1,1,345,0
EMP1107,18-08-2024,Product,US,40,Female,Bachelors,8,1,1,1,0,1,0,1,375,1
EMP1108,10-02-2024,Sales,Singapore,35,Male,Masters,3,1,1,1,1,1,1,0,565,0
EMP1109,28-01-2024,Sales,India,28,Male,Bachelors,11,1,0,1,0,1,1,1,578,0
EMP1110,14-05-2024,Finance,Germany,35,Female,Masters,9,0,0,1,1,1,1,1,471,0
EMP1111,19-07-2024,Engineering,UK,27,Female,Masters,1,0,0,1,1,1,1,1,405,0
EMP1112,23-11-2024,HR,Canada,33,Female,Bachelors,2,0,0,0,1,1,1,1,278,0
EMP1113,24-09-2024,Finance,India,37,Male,Bachelors,2,0,1,1,0,1,1,0,338,1
EMP1114,02-02-2024,HR,US,38,Male,Masters,8,0,1,1,1,1,1,1,573,0
EMP1115,17-02-2024,Engineering,UK,34,Female,Bachelors,3,0,1,1,1,1,1,1,558,0
EMP1116,02-03-2024,Product,Singapore,44,Female,Bachelors,14,0,0,0,1,1,1,1,544,0
EMP1117,03-08-2024,Product,Singapore,35,Male,Masters,0,0,1,1,0,1,1,1,390,0
EMP1118,19-10-2024,Engineering,US,28,Male,Bachelors,0,1,0,0,1,1,1,0,313,1
EMP1119,08-04-2024,Finance,US,35,Male,Masters,14,0,1,1,0,1,1,1,507,0
EMP1120,20-06-2024,Engineering,Singapore,36,Male,Masters,6,0,1,1,1,1,1,1,434,0
EMP1121,25-12-2024,Marketing,Germany,33,Female,Bachelors,6,1,0,0,1,0,1,0,246,1
EMP1122,01-08-2024,Sales,Germany,38,Female,Bachelors,1,0,1,0,1,0,1,1,392,0
EMP1123,04-02-2024,Finance,UK,30,Female,Bachelors,8,0,1,1,1,1,1,1,571,0
EMP1124,14-08-2024,HR,Canada,43,Female,Masters,8,1,0,1,1,1,1,1,379,0
EMP1125,10-04-2024,Marketing,UK,36,Female,Bachelors,4,0,0,0,1,0,1,1,505,1
EMP1126,10-05-2024,Finance,Canada,33,Female,Masters,14,0,1,1,1,1,1,1,475,0
EMP1127,13-09-2024,Engineering,US,23,Male,Bachelors,14,0,0,1,1,1,1,1,349,0
EMP1128,05-01-2024,Engineering,India,26,Male,Bachelors,2,0,1,0,1,1,0,1,601,0
EMP1129,05-08-2024,Engineering,UK,34,Male,Bachelors,2,0,1,1,1,1,1,0,388,0
EMP1130,11-09-2024,Engineering,UK,48,Female,Bachelors,11,0,0,1,0,1,1,1,351,1
EMP1131,24-12-2024,HR,Canada,41,Female,Bachelors,2,0,0,0,1,1,1,1,247,0
EMP1132,09-10-2024,Marketing,US,44,Male,Bachelors,5,0,1,1,0,1,1,1,323,0
EMP1133,25-07-2024,Product,US,29,Female,Bachelors,3,1,1,1,1,0,0,1,399,1
EMP1134,15-01-2024,Sales,Canada,48,Male,Bachelors,7,0,1,1,1,1,1,1,591,0
EMP1135,11-12-2024,HR,US,35,Male,Bachelors,14,1,1,0,1,1,1,0,260,0
EMP1136,11-02-2024,HR,Singapore,36,Male,Masters,12,0,1,0,1,1,1,1,564,0
EMP1137,27-06-2024,Product,Germany,32,Male,Bachelors,10,1,0,1,1,1,1,1,427,0
EMP1138,03-03-2024,Product,Singapore,22,Male,Bachelors,12,0,1,0,0,1,1,1,543,1
EMP1139,17-12-2024,Sales,India,42,Female,Masters,10,0,1,1,1,1,1,1,254,0
EMP1140,18-08-2024,Sales,UK,24,Male,Bachelors,10,0,1,0,1,1,1,1,375,0
EMP1141,28-08-2024,Product,India,38,Female,Masters,4,1,1,1,1,1,0,1,365,0
EMP1142,21-02-2024,Engineering,UK,49,Female,Bachelors,0,0,1,1,0,1,1,0,554,1
EMP1143,05-04-2024,HR,Germany,40,Male,Bachelors,8,0,1,1,1,1,0,1,510,0
EMP1144,09-08-2024,Finance,US,35,Female,Masters,0,0,1,1,1,1,1,1,384,0
EMP1145,18-08-2024,Sales,Singapore,43,Male,Bachelors,5,1,1,1,1,0,1,1,375,0
EMP1146,24-08-2024,Sales,Canada,44,Male,Masters,0,0,0,1,1,1,0,1,369,0
EMP1147,22-05-2024,Product,Singapore,29,Male,Bachelors,2,0,0,1,0,1,0,0,463,1
EMP1148,19-06-2024,Marketing,Germany,34,Female,Masters,14,0,1,1,1,1,0,1,435,0
EMP1149,29-01-2024,Finance,India,48,Male,Masters,9,0,0,1,1,1,1,1,577,0
EMP1150,05-02-2024,Finance,Canada,41,Male,Bachelors,4,1,1,0,1,1,0,1,570,0
EMP1151,13-01-2024,Sales,US,24,Female,Masters,14,1,1,1,0,1,1,1,593,0
EMP1152,08-06-2024,Engineering,Germany,26,Male,Bachelors,9,0,0,1,1,1,1,1,446,0
EMP1153,22-11-2024,Marketing,Canada,30,Female,Masters,6,0,1,1,1,1,1,1,279,0
EMP1154,05-07-2024,Finance,Germany,27,Male,Bachelors,13,1,1,1,1,1,0,1,419,0
EMP1155,30-08-2024,Sales,Germany,46,Male,Masters,9,0,1,1,1,1,1,1,363,0
EMP1156,26-03-2024,Finance,US,43,Male,Bachelors,7,1,1,0,0,1,1,0,520,1
EMP1157,10-10-2024,Marketing,UK,23,Female,Bachelors,11,0,1,1,1,1,1,0,322,0
EMP1158,06-03-2024,Marketing,Canada,34,Female,Masters,8,0,1,0,1,1,1,1,540,0
EMP1159,18-06-2024,HR,US,26,Male,Masters,5,0,0,0,1,1,1,0,436,1
EMP1160,14-02-2024,Product,Germany,49,Female,Bachelors,14,0,1,1,1,0,1,1,561,0
EMP1161,02-03-2024,Product,US,48,Male,Bachelors,10,1,1,1,1,1,1,1,544,0
EMP1162,13-05-2024,Sales,UK,46,Male,Bachelors,8,0,0,1,1,1,1,1,472,0
EMP1163,10-10-2024,Marketing,Singapore,29,Female,Bachelors,7,1,1,1,1,1,1,1,322,0
EMP1164,28-01-2024,HR,Canada,44,Female,Bachelors,8,0,1,0,1,1,1,0,578,0
EMP1165,17-04-2024,HR,UK,22,Male,Masters,9,1,1,1,1,1,1,1,498,0
EMP1166,13-02-2024,Finance,India,41,Male,Bachelors,3,0,1,1,1,1,1,1,562,0
EMP1167,05-12-2024,Finance,Canada,33,Male,Masters,8,1,1,1,1,1,0,1,266,0
EMP1168,12-10-2024,HR,UK,44,Female,Masters,14,0,1,1,1,1,1,1,320,0
EMP1169,26-11-2024,Finance,Germany,32,Female,Bachelors,6,1,1,0,1,1,1,0,275,0
EMP1170,07-05-2024,Marketing,Canada,28,Female,Bachelors,4,0,1,1,1,1,0,1,478,0
EMP1171,13-12-2024,Engineering,Canada,36,Female,Bachelors,4,0,1,1,0,1,1,1,258,0
EMP1172,18-08-2024,Marketing,US,43,Male,Bachelors,0,1,1,1,1,0,1,1,375,0
EMP1173,08-07-2024,HR,Germany,45,Male,Masters,1,0,1,1,0,1,1,1,416,0
EMP1174,12-08-2024,HR,India,32,Male,Bachelors,9,0,0,1,1,1,1,0,381,0
EMP1175,09-10-2024,Marketing,Singapore,43,Female,Masters,2,0,0,0,1,1,0,1,323,1
EMP1176,30-04-2024,Finance,UK,47,Male,Bachelors,13,0,1,1,1,1,1,0,485,0
EMP1177,25-04-2024,Finance,US,37,Female,Bachelors,13,0,0,1,0,1,1,1,490,0
EMP1178,20-08-2024,Product,UK,24,Male,Bachelors,7,0,0,0,1,1,1,1,373,0
EMP1179,15-09-2024,HR,India,41,Male,Bachelors,5,0,0,1,1,1,1,1,347,0
EMP1180,24-12-2024,Sales,India,35,Female,Bachelors,11,0,1,0,1,1,1,1,247,0
EMP1181,16-07-2024,Product,Canada,24,Male,Bachelors,9,0,0,1,1,1,1,1,408,0
EMP1182,16-05-2024,Finance,India,22,Male,Masters,10,1,1,0,0,1,1,1,469,1
EMP1183,13-11-2024,Marketing,UK,47,Male,Masters,12,0,1,1,1,1,1,1,288,0
EMP1184,13-06-2024,Finance,Germany,42,Female,Bachelors,14,0,1,1,1,1,1,0,441,0
EMP1185,12-08-2024,Marketing,Germany,36,Female,Bachelors,13,0,1,1,1,1,1,1,381,0
EMP1186,02-11-2024,Product,Canada,22,Male,Bachelors,4,0,0,1,1,1,0,1,299,0
EMP1187,21-08-2024,HR,Singapore,38,Female,Bachelors,12,0,1,1,1,1,1,1,372,0
EMP1188,20-06-2024,Finance,UK,23,Male,Bachelors,0,0,1,1,1,1,1,1,434,0
EMP1189,31-05-2024,Marketing,UK,41,Male,Bachelors,11,0,1,1,1,1,1,1,454,0
EMP1190,10-11-2024,HR,India,27,Male,Bachelors,10,0,0,1,1,1,1,1,291,0
EMP1191,08-06-2024,Sales,UK,29,Male,Bachelors,11,0,1,0,1,1,1,1,446,0
EMP1192,05-04-2024,Marketing,US,37,Male,Bachelors,8,1,1,1,1,1,0,0,510,0
EMP1193,20-08-2024,Product,Singapore,40,Female,Bachelors,2,0,1,1,1,1,0,1,373,0
EMP1194,28-06-2024,Sales,India,22,Male,Masters,2,0,1,1,1,1,1,1,426,0
EMP1195,22-04-2024,Sales,US,24,Male,Bachelors,1,0,1,0,1,0,1,1,493,0
EMP1196,13-11-2024,Engineering,Canada,49,Male,Bachelors,3,1,1,1,1,1,1,0,288,0
EMP1197,21-02-2024,Finance,Germany,24,Female,Bachelors,11,1,1,0,1,1,1,0,554,0
EMP1198,24-09-2024,Marketing,Canada,26,Male,Masters,1,1,0,1,1,1,1,1,338,0
EMP1199,21-10-2024,Sales,Germany,48,Male,Masters,12,0,1,1,1,1,1,1,311,0
EMP1200,22-04-2024,Engineering,Canada,33,Male,Masters,8,0,1,1,1,1,0,1,493,0
EMP1201,10-04-2024,Product,UK,33,Female,Bachelors,11,0,1,1,1,1,1,1,505,0
EMP1202,22-04-2024,HR,US,41,Male,Bachelors,9,1,0,1,1,1,0,0,493,1
EMP1203,21-03-2024,Marketing,Germany,34,Male,Masters,6,1,0,0,1,1,1,1,525,0
EMP1204,05-07-2024,Sales,India,41,Male,Bachelors,7,0,1,0,0,0,1,1,419,1
EMP1205,22-04-2024,Finance,US,30,Male,Bachelors,2,0,1,1,1,1,1,1,493,0
EMP1206,02-01-2024,Engineering,India,28,Male,Masters,5,0,1,1,0,1,1,1,604,0
EMP1207,09-05-2024,Sales,US,25,Male,Bachelors,14,0,1,1,1,1,1,1,476,0
EMP1208,07-08-2024,Finance,US,40,Male,Bachelors,9,0,0,1,1,0,1,1,386,0
EMP1209,23-02-2024,Sales,Canada,43,Male,Bachelors,5,0,1,1,0,1,1,0,552,1
EMP1210,08-12-2024,Marketing,Germany,40,Female,Bachelors,12,0,1,1,1,1,0,1,263,0
EMP1211,11-08-2024,Marketing,Germany,27,Female,Bachelors,0,0,1,1,1,1,1,1,382,0
EMP1212,12-08-2024,Marketing,US,48,Male,Masters,5,0,1,1,1,1,0,1,381,0
EMP1213,05-05-2024,Product,UK,34,Female,Masters,12,0,1,1,1,1,1,1,480,0
EMP1214,09-05-2024,Product,UK,32,Female,Bachelors,13,0,1,1,1,1,1,1,476,0
EMP1215,22-02-2024,Engineering,India,34,Female,Masters,2,0,1,1,1,1,1,1,553,0
EMP1216,20-06-2024,Marketing,India,34,Female,Bachelors,10,1,1,1,1,1,1,1,434,0
EMP1217,05-08-2024,Finance,Canada,49,Female,Bachelors,2,1,0,1,1,0,0,1,388,1
EMP1218,08-06-2024,Sales,US,46,Female,Masters,2,0,1,0,1,1,1,1,446,0
EMP1219,16-07-2024,HR,India,43,Male,Masters,9,0,1,0,1,1,1,1,408,0
EMP1220,03-09-2024,Finance,India,49,Male,Masters,10,0,1,1,1,1,1,0,359,0
EMP1221,19-11-2024,Product,Singapore,41,Female,Masters,14,0,0,1,1,1,1,0,282,0
EMP1222,21-07-2024,Product,US,36,Male,Masters,10,1,1,1,1,1,0,1,403,0
EMP1223,02-07-2024,Finance,Canada,42,Female,Masters,14,1,1,1,1,1,1,1,422,0
EMP1224,02-05-2024,Product,India,34,Female,Bachelors,9,0,1,1,1,1,1,1,483,0
EMP1225,11-09-2024,Marketing,Canada,43,Female,Masters,10,1,0,0,0,1,1,1,351,1
EMP1226,20-10-2024,Engineering,Germany,32,Female,PhD,7,1,1,0,1,1,1,1,312,0
EMP1227,06-10-2024,Sales,Canada,40,Male,Masters,12,1,0,1,1,1,1,0,326,0
EMP1228,20-11-2024,Engineering,UK,29,Male,Bachelors,4,0,0,0,1,1,1,1,281,0
EMP1229,07-04-2024,Sales,UK,41,Female,Bachelors,3,0,0,0,1,1,0,1,508,1
EMP1230,16-07-2024,Sales,Canada,29,Female,Bachelors,12,0,1,1,0,1,1,1,408,0
EMP1231,27-08-2024,Engineering,UK,31,Male,Bachelors,8,0,0,0,0,1,1,1,366,1
EMP1232,23-05-2024,Finance,Germany,47,Female,PhD,8,0,1,1,1,1,1,1,462,0
EMP1233,06-04-2024,Sales,US,37,Male,Bachelors,0,1,1,1,1,1,1,0,509,0
EMP1234,19-07-2024,Engineering,UK,40,Female,Bachelors,1,0,1,1,1,0,1,1,405,0
EMP1235,03-05-2024,Sales,UK,47,Male,Masters,7,1,1,1,1,1,1,1,482,0
EMP1236,05-07-2024,HR,Canada,44,Female,Bachelors,4,0,1,1,1,1,1,1,419,0
EMP1237,21-11-2024,Finance,Germany,32,Male,Bachelors,6,0,1,0,1,1,0,0,280,1
EMP1238,14-12-2024,Marketing,US,34,Female,Bachelors,0,1,1,0,1,1,1,1,257,0
EMP1239,15-09-2024,Sales,Canada,49,Male,Masters,11,0,1,1,1,1,1,1,347,0
EMP1240,27-05-2024,HR,Canada,30,Male,Bachelors,9,0,0,0,1,1,1,1,458,0
EMP1241,08-09-2024,Marketing,Singapore,41,Female,PhD,11,1,0,0,0,1,1,0,354,1
EMP1242,11-12-2024,Marketing,Germany,45,Male,Bachelors,4,1,1,1,1,1,1,0,260,0
EMP1243,26-05-2024,Sales,US,40,Male,Bachelors,10,0,1,1,1,1,1,1,459,0
EMP1244,27-05-2024,Engineering,Germany,37,Male,Bachelors,11,1,1,1,1,1,1,1,458,0
EMP1245,17-12-2024,Sales,US,28,Female,Masters,2,0,1,0,1,1,1,1,254,0
EMP1246,17-07-2024,HR,Germany,40,Male,Bachelors,9,1,1,1,1,0,1,1,407,0
EMP1247,03-11-2024,Marketing,Canada,33,Female,Bachelors,11,1,1,1,0,0,1,0,298,1
EMP1248,07-05-2024,Sales,Canada,36,Female,Bachelors,11,0,0,0,0,1,1,1,478,1
EMP1249,08-02-2024,Engineering,India,44,Male,Masters,13,0,1,0,1,1,1,1,567,0
EMP1250,03-12-2024,Sales,UK,35,Female,Bachelors,1,0,1,1,1,1,1,1,268,0
EMP1251,25-12-2024,Finance,Singapore,32,Female,Masters,1,0,1,1,1,1,1,1,246,0
EMP1252,08-05-2024,Engineering,Germany,47,Male,Masters,8,1,1,1,1,1,1,0,477,0
EMP1253,23-09-2024,HR,Singapore,31,Female,Bachelors,12,0,1,0,1,1,0,1,339,0
EMP1254,30-05-2024,Marketing,India,48,Female,Bachelors,3,1,1,1,1,1,0,1,455,0
EMP1255,24-10-2024,Sales,UK,32,Female,Bachelors,3,1,1,1,1,1,1,1,308,0
EMP1256,08-04-2024,Engineering,Germany,27,Female,Bachelors,6,1,1,0,0,1,0,1,507,1
EMP1257,19-09-2024,Finance,US,23,Male,Bachelors,9,1,1,0,0,1,1,1,343,1
EMP1258,08-09-2024,Engineering,UK,32,Male,Bachelors,9,0,1,1,1,1,1,1,354,0
EMP1259,23-05-2024,Product,Canada,40,Female,Bachelors,12,0,1,1,1,1,1,1,462,0
EMP1260,11-12-2024,Finance,India,27,Male,Bachelors,1,0,0,1,1,0,1,0,260,1
EMP1261,21-04-2024,HR,UK,35,Male,Bachelors,2,0,1,1,1,1,0,0,494,1
EMP1262,29-02-2024,Marketing,UK,41,Male,Bachelors,2,0,1,1,1,1,1,0,546,0
EMP1263,02-01-2024,HR,Canada,27,Male,Masters,5,0,1,1,1,1,1,1,604,0
EMP1264,30-10-2024,Sales,Germany,38,Female,Masters,2,0,1,1,1,1,1,1,302,0
EMP1265,10-09-2024,Engineering,US,31,Female,Masters,10,1,1,1,0,1,1,0,352,1
EMP1266,19-05-2024,Product,Canada,49,Male,Bachelors,4,1,1,1,0,1,1,1,466,0
EMP1267,06-02-2024,Finance,US,22,Male,Bachelors,3,0,1,1,1,1,1,1,569,0
EMP1268,08-06-2024,Finance,Germany,24,Male,Bachelors,2,0,1,0,1,1,0,1,446,0
EMP1269,09-01-2024,Engineering,UK,29,Male,Bachelors,7,0,1,1,0,1,0,1,597,1
EMP1270,20-08-2024,Product,US,29,Male,Bachelors,13,0,1,0,0,1,1,1,373,0
